SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,BURO_DAYS_CREDIT_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_EMPLOYED,PREV_CODE_REJECT_REASON_XAP_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,DAYS_EMPLOYED_PERC,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,ACTIVE_DAYS_CREDIT_MEAN,CLOSED_DAYS_CREDIT_MEAN,REGION_RATING_CLIENT_W_CITY,PREV_CODE_REJECT_REASON_HC_MEAN,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,DAYS_LAST_PHONE_CHANGE,REGION_RATING_CLIENT,CODE_GENDER,TARGET
353372,0.7032033049040319,0.7500370340501039,-1499.2857142857142,0.8571428571428571,-17230.0,0.1428571428571428,0.0,-356.0,0.8,-1226.857142857143,0.0206616366802089,0.8,-28.0,-1744.5,2.0,0.0,0.0,-2162.0,2.0,1.0,0.0
308355,0.3847236599453714,0.269346348308012,-638.3333333333334,0.6666666666666666,-9620.0,0.3333333333333333,0.0,-433.0,1.0,-371.0,0.045010395010395,1.0,-361.0,-777.0,2.0,0.0,0.0,-176.0,2.0,1.0,0.0
318441,0.6512602186973006,0.6077182243034684,-1810.5,0.9285714285714286,-20616.0,0.0714285714285714,0.6666666666666666,-12286.0,0.3333333333333333,-1006.1428571428572,0.5959448971672487,0.3333333333333333,-400.0,-1919.0,2.0,0.3333333333333333,0.6666666666666666,-2142.0,2.0,1.0,0.0
198816,0.7194907850918436,0.5217136609930119,-1846.0,0.3333333333333333,-19045.0,0.6666666666666666,0.0,-212.0,1.0,-1573.0,0.0111315305854555,1.0,-1602.0,-2334.0,2.0,0.0,0.0,-395.0,2.0,0.0,0.0
390856,0.6886185216872216,0.4258797661843402,-2569.0,1.0,-19947.0,0.0,0.0,-1483.0,1.0,-2383.0,0.0743470196019451,1.0,-1945.8333333333333,-2569.0,2.0,0.0,0.0,-1362.0,2.0,1.0,0.0
248266,0.6940926425266661,0.4164017362930211,-1865.0,1.0,-19987.0,0.0,0.0,-4515.6,1.0,-623.0,0.2260641979304894,1.0,-1468.9733333333334,-1865.0,3.0,0.0,0.0,-366.0,3.0,1.0,0.0
273042,0.6848276586890367,0.7215988567264591,-1918.9,0.6,-13516.0,0.4,0.0,-1942.0,1.0,-1097.1,0.143681562592483,1.0,-2042.0,-1836.8333333333333,1.0,0.0,0.25,-997.0,1.0,1.0,0.0
318966,0.3108182544189319,0.3553961180354158,-303.5,0.0,-8761.0,1.0,0.3333333333333333,-379.0,0.6666666666666666,-28.5,0.0432599018376897,0.6666666666666666,-303.5,-411.8166666666667,2.0,0.0,0.0,-579.0,2.0,1.0,1.0
300055,0.3723336657058204,0.5278487329293213,-552.2,0.2,-12714.0,0.8,0.0,-718.0,1.0,-267.8,0.0564731791725656,0.5,-490.0,-801.0,2.0,0.0,0.0,-2601.0,2.0,0.0,0.0
205038,0.3927738606031339,0.3848561522995904,-888.7777777777778,0.6666666666666666,-10123.0,0.3333333333333333,0.0,-566.0,1.0,-505.05555555555554,0.0559122789686851,1.0,-710.5,-977.9166666666666,2.0,0.0,0.0,-459.0,2.0,1.0,0.0
192111,0.363945238612397,0.7253741715278126,-1544.5,0.75,-12491.0,0.25,0.625,-4722.0,0.375,-801.75,0.3780321831718837,0.375,-183.0,-1998.3333333333333,2.0,0.5,0.375,-828.0,2.0,1.0,0.0
145935,0.5532458629438441,0.5239395018614971,-630.0,0.0,-22755.0,1.0,0.0,-4189.0,1.0,-20.0,0.1840914084816524,0.75,-630.0,-686.4166666666666,2.0,0.0,0.0,-867.0,2.0,0.0,0.0
424875,0.2750003523983893,0.6274742101135745,-655.0,0.6666666666666666,-17819.0,0.3333333333333333,0.2,-1539.0,0.8,-195.3333333333333,0.0863684830798585,0.5,-180.0,-892.5,2.0,0.2,0.0,-1233.0,2.0,1.0,0.0
432837,0.6195478233651481,0.2620553359511834,-836.0,1.0,-8823.0,0.0,0.0,-373.0,1.0,-559.0,0.0422758698855264,1.0,-536.2583333333333,-836.0,2.0,0.0,0.0,-463.0,2.0,1.0,0.0
305158,0.7281412993111438,0.4221093435454996,-1546.0,1.0,-11249.0,0.0,0.0,-226.0,1.0,-1145.0,0.0200906747266423,0.5,-848.0907575757576,-1546.0,2.0,0.0,0.0,-385.0,2.0,1.0,0.0
189019,0.7623356180684377,0.6975170939642171,-1536.375,1.0,-22784.0,0.0,0.0,-5411.3,1.0,-1178.0,0.2379020719437508,1.0,-837.3583333333333,-1536.375,2.0,0.0,0.0,-1487.0,2.0,1.0,0.0
324909,0.3589512285783967,0.6902434339409602,-277.0,0.0,-14066.0,1.0,0.0,-864.0,1.0,-12.0,0.0614247120716621,1.0,-277.0,-522.2366666666667,2.0,0.0,0.0,-1763.0,2.0,1.0,1.0
249671,0.5884877883422673,0.2992708067572459,-907.2857142857144,0.7142857142857143,-20668.0,0.2857142857142857,0.0,-2783.0,1.0,-624.5714285714286,0.1346526030578672,1.0,-363.5,-1124.8,2.0,0.0,0.0,-1087.0,2.0,1.0,0.0
363441,0.7636399214572418,0.6104725238497944,-421.75,0.0,-17030.0,1.0,0.0,-2299.9,1.0,-3.75,0.1349566666036897,1.0,-421.75,-559.75,2.0,0.0,0.6,-2832.0,2.0,1.0,0.0
